Label                                   Ranks_per_node  MPI_ranks_total  OMP_threads  EXCHANGE_BOUNDARIES  INIT_fields_with_Halo  SOLVE_AND_SWAP  SOLVE_SWAP_COMM
"N=1 | rpn=2  | mpi=2  | omp=56"         2               2               56           1834309              386677                 34524307        34582923
"N=1 | rpn=4  | mpi=4  | omp=28"         4               4               28            958298              195283                 18511096        18732559
"N=1 | rpn=8  | mpi=8  | omp=14"         8               8               14            843351               99449                 17027085        17492185
"N=1 | rpn=14 | mpi=14 | omp=8"         14              14                8           1068969               57677                 17352688        17584311
"N=1 | rpn=28 | mpi=28 | omp=4"         28              28                4            792254               31619                 16650145        16887865
"N=1 | rpn=56 | mpi=56 | omp=2"         56              56                2            997962               17340                 16970285        17197252


"N=2 | rpn=56 | mpi=112 | omp=2"        56              112              2            558735                8908                   8364774         8615125
"N=2 | rpn=2  | mpi=4   | omp=56"        2               4               56           1813151               193517                 17540511        17645782
"N=2 | rpn=28 | mpi=56  | omp=4"        28               56              4            659602                15662                  8325181         8687286
"N=2 | rpn=4  | mpi=8   | omp=28"        4                8              28           1042787               99132                  9263563         9555330
"N=2 | rpn=14 | mpi=28  | omp=8"        14               28              8            1006469               29460                  8638316         8916016
"N=2 | rpn=8  | mpi=16  | omp=14"        8               16              14           948077                50145                  8495852         8842469


"N=8 | rpn=2  | mpi=16  | omp=56"        2               16              56           541798   51349   4355253   4507392
"N=8 | rpn=56 | mpi=448 | omp=2"        56              448               2           344502    2503   2026740   2228481
"N=8 | rpn=28 | mpi=224 | omp=4"        28              224               4           328780    4449   2014018   2213210
"N=8 | rpn=4  | mpi=32  | omp=28"        4               32              28           563492   25513   2140872   2540829
"N=8 | rpn=8  | mpi=64  | omp=14"        8               64              14           303225   13558   2042366   2246812
"N=8 | rpn=14 | mpi=112 | omp=8"        14              112               8           314919    7832   2017075   2241002

"N=10 | rpn=14 | mpi=140 | omp=8"        14              140              8           257211    6336   1669426   1797423
"N=10 | rpn=8  | mpi=80  | omp=14"        8               80             14           389295   10658   1687731   1954314
"N=10 | rpn=4  | mpi=40  | omp=28"        4               40             28           666908   20729   1766101   2267530
"N=10 | rpn=28 | mpi=280 | omp=4"        28              280              4           270665    3719   1588536   1782937
"N=10 | rpn=56 | mpi=560 | omp=2"        56              560              2           338686    2076   1582320   1793763
"N=10 | rpn=2  | mpi=20  | omp=56"        2               20             56           606333   40161   2322124   2634637
