N,rpn,omp,PRINT,X_Label,COMM_ms,INIT_ms,SOLVE_AND_SWAP_ms,MEMORY_IO_ms
1,2,56,500,N=1|rpn=2|omp=56|print=500,1770.24,94.825,84954.5,2265.03
1,4,28,500,N=1|rpn=4|omp=28|print=500,4224.98,47.876,39566.2,3929.93
1,8,14,500,N=1|rpn=8|omp=14|print=500,5743.2,24.712,35425.6,3753.97
1,8,14,2000,N=1|rpn=8|omp=14|print=2000,5115.56,24.734,34541.3,1143.19
1,28,4,500,N=1|rpn=28|omp=4|print=500,8267.75,8.221,32796.6,4554.37
1,28,4,2000,N=1|rpn=28|omp=4|print=2000,6628.19,8.01,32766.2,1314.4
1,56,2,500,N=1|rpn=56|omp=2|print=500,6945.38,4.085,32190.3,5188.33
2,2,56,500,N=2|rpn=2|omp=56|print=500,2175.97,47.294,40010.6,3668.93
2,4,28,500,N=2|rpn=4|omp=28|print=500,3965.33,24.096,20317.7,3924.73
2,8,14,500,N=2|rpn=8|omp=14|print=500,5604.45,12.183,18487.0,4041.64
2,28,4,500,N=2|rpn=28|omp=4|print=500,5330.28,3.935,16283.9,5592.81
2,56,2,500,N=2|rpn=56|omp=2|print=500,41725.7,2.173,16248.9,4552.02
8,2,56,500,N=8|rpn=2|omp=56|print=500,1224.5,12.184,5126.35,3059.74
8,2,56,2000,N=8|rpn=2|omp=56|print=2000,1219.69,11.965,5162.2,1991.32
8,4,28,500,N=8|rpn=4|omp=28|print=500,1433.6,6.034,4693.67,2972.59
8,4,28,1000,N=8|rpn=4|omp=28|print=1000,1400.26,6.079,4721.57,3746.63
8,4,28,2000,N=8|rpn=4|omp=28|print=2000,1475.22,6.118,4741.07,2051.83
8,8,14,500,N=8|rpn=8|omp=14|print=500,1514.66,3.179,4359.12,3155.38
8,8,14,1000,N=8|rpn=8|omp=14|print=1000,1522.49,3.086,4369.44,2555.01
8,8,14,2000,N=8|rpn=8|omp=14|print=2000,1529.13,3.121,4383.58,1410.55
8,28,4,500,N=8|rpn=28|omp=4|print=500,1738.32,1.042,4054.8,4222.49
8,56,2,500,N=8|rpn=56|omp=2|print=500,1634.83,0.617,3999.25,6071.38
8,56,2,2000,N=8|rpn=56|omp=2|print=2000,1627.48,0.604,4004.49,2151.39
10,8,14,500,N=10|rpn=8|omp=14|print=500,1346.03,2.486,3502.46,5374.05
10,8,14,1000,N=10|rpn=8|omp=14|print=1000,14097.7,2.526,3598.44,3024.23
10,8,14,2000,N=10|rpn=8|omp=14|print=2000,1394.77,2.543,3510.57,1471.69
10,28,4,500,N=10|rpn=28|omp=4|print=500,1503.18,0.839,3264.29,6835.13
10,28,4,1000,N=10|rpn=28|omp=4|print=1000,1527.31,0.835,3261.02,3514.37
10,28,4,2000,N=10|rpn=28|omp=4|print=2000,1436.96,0.832,3251.5,1995.07
